,t,c,o,h,l,v
0,2013-10-08 14:59:59,62.792585994089,62.792585994089,62.792585994089,57.579616590806,2783
1,2013-10-09 14:59:59,68.479461706762,62.792585994089,68.479461706762,63.929961136624,16506
2,2013-10-10 14:59:59,70.848993253708,68.479461706762,73.502868586289,67.247305302349,23565
3,2013-10-17 14:59:59,70.469868206197,70.848993253708,71.133337039342,69.616836849296,2986
4,2013-10-20 14:59:59,68.005555397372,70.469868206197,71.322899563098,67.247305302349,1943
5,2013-10-21 14:59:59,68.953368016151,68.005555397372,69.237711801785,67.057742778594,10997
6,2013-10-22 14:59:59,69.332493063662,68.953368016151,69.332493063662,68.005555397372,6847
7,2013-10-23 14:59:59,69.90118063493,69.332493063662,70.090743158685,68.953368016151,14041
8,2013-10-24 14:59:59,71.702024610609,69.90118063493,71.796805872487,69.522055587418,11302
9,2013-10-27 14:59:59,70.848993253708,71.702024610609,72.744618491266,69.42727432554,12862
10,2013-10-28 14:59:59,70.943774515586,70.848993253708,71.322899563098,68.763805492395,4891
11,2013-10-29 14:59:59,70.659430729953,70.943774515586,71.322899563098,69.42727432554,3268
12,2013-10-30 14:59:59,71.133337039342,70.659430729953,71.417680824976,70.659430729953,4868
13,2013-10-31 14:59:59,70.943774515586,71.133337039342,71.607243348731,70.659430729953,11043
14,2013-11-06 14:59:59,69.90118063493,70.943774515586,70.185524420563,68.479461706762,7253
15,2013-11-07 14:59:59,70.564649468075,69.90118063493,70.943774515586,69.90118063493,3669
16,2013-11-10 14:59:59,71.322899563098,70.564649468075,71.891587134365,70.754211991831,4399
17,2013-11-11 14:59:59,71.796805872487,71.322899563098,71.986368396243,70.848993253708,14879
18,2013-11-12 14:59:59,73.313306062533,71.796805872487,74.166337419434,72.081149658121,10501
19,2013-11-13 14:59:59,74.166337419434,73.313306062533,76.061962656991,72.934181015022,7925
20,2013-11-14 14:59:59,74.071556157556,74.166337419434,75.114150038213,73.502868586289,7175
21,2013-11-21 14:59:59,75.398493823846,74.071556157556,75.398493823846,75.398493823846,16
22,2013-11-24 14:59:59,75.303712561968,75.398493823846,81.274932060274,75.303712561968,3633
23,2013-11-25 14:59:59,75.303712561968,75.303712561968,76.535868966381,73.692431110044,5297
24,2013-11-26 14:59:59,76.535868966381,75.303712561968,77.483681585159,73.313306062533,3137
25,2013-11-27 14:59:59,77.00977527577,76.535868966381,77.483681585159,76.061962656991,2179
26,2013-11-28 14:59:59,78.241931680182,77.00977527577,78.33671294206,75.588056347602,2292
27,2013-12-01 14:59:59,78.431494203938,78.241931680182,80.327119441495,77.957587894549,3395
28,2013-12-02 14:59:59,83.549682345343,78.431494203938,83.549682345343,78.431494203938,7326
29,2013-12-03 14:59:59,91.321745819328,83.549682345343,91.321745819328,83.454901083465,7229
30,2013-12-04 14:59:59,99.28337181707,91.321745819328,99.852059388337,93.02780853313,4329
31,2013-12-05 14:59:59,99.188590555192,99.28337181707,103.83287238721,97.387746579512,20168
32,2013-12-08 14:59:59,93.596496104397,99.188590555192,100.98943453087,92.269558438107,2766
33,2013-12-09 14:59:59,94.070402413787,93.596496104397,94.070402413787,91.890433390596,2635
34,2013-12-10 14:59:59,91.226964557451,94.070402413787,93.975621151909,90.942620771817,1391
35,2013-12-11 14:59:59,93.122589795008,91.226964557451,94.82865250881,91.795652128718,3154
36,2013-12-12 14:59:59,93.312152318764,93.122589795008,96.345152698856,91.416527081206,1644
37,2013-12-15 14:59:59,99.757278126459,93.312152318764,99.757278126459,93.312152318764,3430
38,2013-12-16 14:59:59,101.55812210214,99.757278126459,101.55812210214,100.23118443585,467
39,2013-12-18 14:59:59,101.65290336402,101.55812210214,103.35896607782,99.662496864581,8172
40,2013-12-19 14:59:59,100.23118443585,101.65290336402,101.08421579275,96.1555901751,3787
41,2013-12-22 14:59:59,100.23118443585,100.23118443585,102.12680967341,99.28337181707,10809
42,2013-12-23 14:59:59,98.335559198291,100.23118443585,100.32596569773,98.335559198291,6906
43,2013-12-24 14:59:59,99.757278126459,98.335559198291,100.23118443585,94.544308723176,7827
