,t,c,o,h,l,v
64,2012-04-12 14:59:59,345.0,339.16666666667,346.66666666667,337.5,3534.0
65,2012-04-15 14:59:59,358.33333333333,345.0,358.33333333333,345.83333333333,2850.0
66,2012-04-16 14:59:59,394.16666666667,358.33333333333,394.16666666667,365.0,1368.0
67,2012-04-17 14:59:59,365.0,394.16666666667,425.0,365.0,10464.0
68,2012-04-18 14:59:59,376.66666666667,365.0,385.0,363.33333333333,10020.0
69,2012-04-19 14:59:59,379.16666666667,376.66666666667,387.5,375.0,4308.0
70,2012-04-22 14:59:59,388.33333333333,379.16666666667,388.33333333333,381.66666666667,6198.0
71,2012-04-24 14:59:59,396.66666666667,388.33333333333,402.5,395.83333333333,1350.0
72,2012-04-25 14:59:59,405.0,396.66666666667,411.66666666667,404.16666666667,1476.0
73,2012-04-26 14:59:59,434.16666666667,405.0,441.66666666667,390.0,16680.0
74,2012-04-29 14:59:59,433.33333333333,434.16666666667,437.5,409.16666666667,8592.0
75,2012-04-30 14:59:59,412.5,433.33333333333,425.0,408.33333333333,6948.0
76,2012-05-02 14:59:59,375.0,412.5,405.0,375.0,1722.0
77,2012-05-03 14:59:59,382.5,375.0,382.5,382.5,36.0
78,2012-05-07 14:59:59,415.83333333333,382.5,415.83333333333,400.83333333333,372.0
79,2012-05-08 14:59:59,423.33333333333,415.83333333333,433.33333333333,416.66666666667,18240.0
80,2012-05-09 14:59:59,416.66666666667,423.33333333333,423.33333333333,409.16666666667,9252.0
81,2012-05-10 14:59:59,412.5,416.66666666667,420.83333333333,396.66666666667,4764.0
82,2012-05-13 14:59:59,394.16666666667,412.5,405.0,385.83333333333,7674.0
83,2012-05-14 14:59:59,386.66666666667,394.16666666667,391.66666666667,380.83333333333,5580.0
84,2012-05-15 14:59:59,394.16666666667,386.66666666667,394.16666666667,394.16666666667,60.0
85,2012-05-16 14:59:59,433.33333333333,394.16666666667,433.33333333333,401.66666666667,1536.0
86,2012-05-17 14:59:59,422.5,433.33333333333,450.0,418.33333333333,5772.0
87,2012-05-20 14:59:59,408.33333333333,422.5,417.5,399.16666666667,1512.0
88,2012-05-21 14:59:59,415.0,408.33333333333,416.66666666667,408.33333333333,3210.0
89,2012-05-22 14:59:59,404.16666666667,415.0,416.66666666667,404.16666666667,1836.0
90,2012-05-23 14:59:59,383.33333333333,404.16666666667,396.66666666667,383.33333333333,1848.0
91,2012-05-24 14:59:59,400.83333333333,383.33333333333,406.66666666667,385.0,1854.0
92,2012-05-27 14:59:59,417.5,400.83333333333,417.5,399.16666666667,5124.0
93,2012-05-29 14:59:59,375.83333333333,417.5,409.16666666667,375.83333333333,1548.0
94,2012-05-30 14:59:59,365.0,375.83333333333,369.16666666667,355.83333333333,10002.0
95,2012-05-31 14:59:59,375.83333333333,365.0,393.33333333333,362.5,4248.0
96,2012-06-03 14:59:59,406.66666666667,375.83333333333,413.33333333333,383.33333333333,1488.0
97,2012-06-04 14:59:59,393.33333333333,406.66666666667,399.16666666667,384.16666666667,2280.0
98,2012-06-05 14:59:59,387.5,393.33333333333,391.66666666667,383.33333333333,966.0
99,2012-06-06 14:59:59,380.83333333333,387.5,385.0,380.0,2784.0
100,2012-06-07 14:59:59,385.83333333333,380.83333333333,395.0,385.83333333333,942.0
101,2012-06-10 14:59:59,384.16666666667,385.83333333333,387.5,381.66666666667,1320.0
102,2012-06-11 14:59:59,387.5,384.16666666667,389.16666666667,383.33333333333,1740.0
103,2012-06-12 14:59:59,390.0,387.5,395.0,387.5,540.0
104,2012-06-13 14:59:59,386.66666666667,390.0,389.16666666667,382.5,2262.0
105,2012-06-14 14:59:59,387.5,386.66666666667,387.5,387.5,1026.0
106,2012-06-17 14:59:59,383.33333333333,387.5,387.5,381.66666666667,2874.0
107,2012-06-18 14:59:59,386.66666666667,383.33333333333,387.5,376.66666666667,2472.0
108,2012-06-19 14:59:59,385.83333333333,386.66666666667,386.66666666667,379.16666666667,6762.0
109,2012-06-20 14:59:59,385.0,385.83333333333,390.83333333333,381.66666666667,1200.0
110,2012-06-21 14:59:59,383.33333333333,385.0,385.83333333333,378.33333333333,2172.0
111,2012-06-25 14:59:59,393.33333333333,383.33333333333,395.0,379.16666666667,5652.0
112,2012-06-26 14:59:59,387.5,393.33333333333,391.66666666667,387.5,2244.0
113,2012-06-27 14:59:59,391.66666666667,387.5,391.66666666667,376.66666666667,2952.0
114,2012-06-28 14:59:59,400.0,391.66666666667,400.0,388.33333333333,3564.0
115,2012-07-01 14:59:59,391.66666666667,400.0,395.83333333333,391.66666666667,1956.0
116,2012-07-02 14:59:59,393.33333333333,391.66666666667,393.33333333333,391.66666666667,1494.0
