,t,c,o,h,l,v
0,2012-09-09 14:59:59,46.052427392846,46.052427392846,46.052427392846,42.894546657336,50
1,2012-09-10 14:59:59,50.526091768151,46.052427392846,50.526091768151,46.841897576723,254
2,2012-09-11 14:59:59,55.526069599374,50.526091768151,55.526069599374,51.315561952028,376
3,2012-09-12 14:59:59,61.052360886515,55.526069599374,61.052360886515,56.57869651121,1131
4,2012-09-13 14:59:59,67.104965629575,61.052360886515,67.104965629575,62.104987798352,27430
5,2012-09-16 14:59:59,68.420749269371,67.104965629575,68.420749269371,63.947084894066,9406
6,2012-09-17 14:59:59,71.052316548962,68.420749269371,71.052316548962,66.578652173657,6296
7,2012-09-18 14:59:59,72.368100188758,71.052316548962,72.894413644676,68.420749269371,8686
8,2012-09-19 14:59:59,71.052316548962,72.368100188758,71.315473276921,68.68390599733,4336
9,2012-09-20 14:59:59,68.420749269371,71.052316548962,70.262846365085,68.420749269371,11416
10,2012-09-23 14:59:59,64.999711805902,68.420749269371,67.104965629575,64.473398349984,5384
11,2012-09-24 14:59:59,65.262868533861,64.999711805902,65.78918198978,64.473398349984,9768
12,2012-09-25 14:59:59,65.262868533861,65.262868533861,65.52602526182,64.210241622025,4830
13,2012-09-26 14:59:59,64.999711805902,65.262868533861,65.52602526182,64.210241622025,7227
14,2012-09-27 14:59:59,64.473398349984,64.999711805902,65.52602526182,63.157614710188,4600
15,2012-09-30 14:59:59,64.210241622025,64.473398349984,64.999711805902,62.63130125427,7236
16,2012-10-01 14:59:59,63.947084894066,64.210241622025,64.473398349984,63.157614710188,5064
17,2012-10-02 14:59:59,65.262868533861,63.947084894066,65.262868533861,63.683928166107,2854
18,2012-10-03 14:59:59,65.262868533861,65.262868533861,66.052338717739,64.210241622025,3424
19,2012-10-04 14:59:59,65.78918198978,65.262868533861,65.78918198978,64.210241622025,3162
20,2012-10-07 14:59:59,66.315495445698,65.78918198978,67.104965629575,65.262868533861,6485
21,2012-10-08 14:59:59,66.315495445698,66.315495445698,66.578652173657,64.473398349984,7223
22,2012-10-09 14:59:59,67.368122357534,66.315495445698,67.368122357534,65.78918198978,3945
23,2012-10-10 14:59:59,66.578652173657,67.368122357534,67.368122357534,66.052338717739,1964
24,2012-10-11 14:59:59,66.052338717739,66.578652173657,66.315495445698,65.78918198978,3846
25,2012-10-14 14:59:59,66.841808901616,66.052338717739,66.841808901616,66.052338717739,1029
26,2012-10-15 14:59:59,66.315495445698,66.841808901616,66.841808901616,65.52602526182,1589
27,2012-10-17 14:59:59,68.420749269371,66.315495445698,68.420749269371,64.999711805902,2975
28,2012-10-18 14:59:59,69.999689637125,68.420749269371,69.999689637125,68.420749269371,3263
29,2012-10-30 14:59:59,71.052316548962,69.999689637125,72.368100188758,69.210219453248,2478
30,2012-10-31 14:59:59,73.157570372635,71.052316548962,74.999667468349,72.368100188758,4291
31,2012-11-01 14:59:59,75.525980924267,73.157570372635,75.525980924267,70.789159821003,2017
32,2012-11-04 14:59:59,77.894391475899,75.525980924267,79.210175115695,72.368100188758,16234
33,2012-11-05 14:59:59,78.157548203858,77.894391475899,80.789115483449,74.47335401243,12136
34,2012-11-06 14:59:59,79.999645299572,78.157548203858,79.999645299572,75.789137652226,4876
35,2012-11-07 14:59:59,81.578585667327,79.999645299572,81.578585667327,78.947018387735,8988
36,2012-11-08 14:59:59,81.052272211408,81.578585667327,86.841720226509,80.52595875549,9282
37,2012-11-11 14:59:59,77.104921292022,81.052272211408,85.262779858754,76.052294380185,9640
38,2012-11-12 14:59:59,82.368055851204,77.104921292022,82.894369307122,77.104921292022,3044
39,2012-11-18 14:59:59,83.683839491,82.368055851204,85.789093314673,81.578585667327,2200
40,2012-11-20 14:59:59,87.631190410386,83.683839491,88.157503866305,83.157526035081,7312
41,2012-11-21 14:59:59,90.262757689978,87.631190410386,90.525914417937,84.473309674877,10747
42,2012-11-22 14:59:59,89.999600962018,90.262757689978,90.525914417937,86.841720226509,9816
43,2012-11-25 14:59:59,92.63116824161,89.999600962018,97.367989344874,90.262757689978,13675
44,2012-11-26 14:59:59,94.473265337323,92.63116824161,94.473265337323,87.894347138345,130815
45,2012-11-27 14:59:59,96.315362433037,94.473265337323,97.104832616915,90.789071145896,15772
46,2012-11-28 14:59:59,99.999556624465,96.315362433037,101.31534026426,96.841675888956,17520
47,2012-11-29 14:59:59,99.999556624465,99.999556624465,103.94690754385,98.157459528751,12950
48,2012-12-02 14:59:59,97.367989344874,99.999556624465,99.999556624465,96.315362433037,9600
49,2012-12-03 14:59:59,95.789048977119,97.367989344874,97.367989344874,93.420638425487,5403
50,2012-12-04 14:59:59,99.999556624465,95.789048977119,100.52587008038,96.841675888956,11242
51,2012-12-05 14:59:59,105.26269118365,99.999556624465,105.26269118365,99.736399896506,14715
52,2012-12-06 14:59:59,106.31531809548,105.26269118365,106.31531809548,101.31534026426,29266
53,2012-12-09 14:59:59,101.84165372018,106.31531809548,104.73637772773,100.78902680834,12055
54,2012-12-10 14:59:59,102.3679671761,101.84165372018,103.42059408793,101.0521835363,9827
55,2012-12-11 14:59:59,102.63112390406,102.3679671761,103.15743735997,102.10481044814,12681
56,2012-12-13 14:59:59,103.94690754385,102.63112390406,104.47322099977,103.42059408793,8951
57,2012-12-16 14:59:59,112.89423629446,103.94690754385,113.15739302242,104.21006427181,27653
58,2012-12-17 14:59:59,115.26264684609,112.89423629446,117.63105739773,113.15739302242,36008
59,2012-12-18 14:59:59,114.73633339018,115.26264684609,114.73633339018,109.21004210303,13364
